date,steps,rest_HR,sleep_HR,active_HR
2019-07-02,4649.0,53.0,52.58169934640523,91.73649671882887
2019-07-03,18921.000000000004,51.0,52.78155339805825,90.04327176781003
2019-07-04,4450.0,48.0,49.48881431767338,96.95835884874464
2019-07-05,23833.0,48.0,51.91649269311065,89.61356395084206
2019-07-06,4015.0,48.0,48.94037940379404,79.56953179594689
2019-07-07,5414.999999999999,45.0,46.53125,96.4605764002175
2019-07-08,4387.0,46.0,47.89320388349515,89.54342305738953
2019-07-09,7576.000000000002,49.0,50.52442159383033,88.26072289156626
2019-07-10,17892.0,46.0,47.971181556195965,83.04053236539625
2019-07-11,26072.0,46.0,47.590225563909776,76.70731707317073
2019-07-12,21876.0,50.0,50.55777777777778,84.0051993067591
2019-07-13,33238.0,49.0,48.624454148471614,86.3137129822883
2019-07-14,19213.0,52.0,59.06785137318255,74.75877437325906
2019-07-15,22781.0,45.0,46.46534653465346,76.47373493975904
2019-07-16,34829.0,48.0,49.41052631578948,77.79093247997632
2019-07-17,16573.0,53.0,52.663716814159294,82.04040404040404
2019-07-18,33130.0,54.0,54.862464183381086,77.92938496583143
2019-07-19,27720.000000000007,50.0,50.53191489361702,81.31884742560227
2019-07-20,36335.0,47.0,47.57407407407408,74.33752808988764
2019-07-21,19116.0,48.0,50.0886524822695,72.7570649479425
2019-07-22,10195.0,44.0,49.41304347826087,78.84344854790282
2019-07-23,43253.0,52.0,51.48979591836735,87.54953178905865
2019-07-24,19176.0,50.0,51.74175824175824,79.89908697741471
2019-07-25,20164.0,48.0,48.60455764075067,101.43113032736257
2019-07-26,29267.0,47.0,49.8796992481203,95.68325401533231
2019-07-27,18349.0,45.0,47.19661733615222,70.00681265206812
2019-07-28,32222.0,46.0,49.05395683453237,81.13786679087099
2019-07-29,15412.0,48.0,50.50445632798574,69.66858127512924
2019-07-30,35121.00000000001,47.0,47.31142857142857,82.38764845605701
2019-07-31,10152.000000000002,48.0,49.73587223587224,82.74769081186193
2019-08-01,39584.00000000001,50.0,51.04450261780104,74.42866359475588
2019-08-02,22727.0,45.0,54.37862595419848,69.13366583541148
2019-08-03,6783.0,46.0,46.21240105540897,65.22147327876745
2019-08-04,11629.999999999996,52.0,53.57339449541284,67.53255931347805
2019-08-05,12611.0,49.0,50.50115473441109,70.48230322239831
2019-08-06,36244.0,50.0,52.175461741424805,82.31985461154021
2019-08-07,25349.0,47.0,47.13586956521739,83.05759405480724
2019-08-08,36580.0,51.0,51.987730061349694,75.9495760821062
2019-08-09,30915.0,51.0,50.24590163934426,85.42223610243597
2019-08-10,28641.0,48.0,49.857549857549856,73.98615751789976
2019-08-11,9624.000000000002,48.0,48.16203703703704,77.12879958784131
2019-08-12,8379.0,57.0,59.30769230769231,75.1697032795419
2019-08-13,14060.0,52.0,58.71935483870968,70.2561686855092
2019-08-14,24969.0,46.0,48.509389671361504,76.85741535526944
2019-08-15,32459.000000000007,45.0,46.90273037542662,75.41368653421634
2019-08-16,5438.0,48.0,49.27182044887781,65.84580934101088
2019-08-17,25096.0,48.0,47.805882352941175,66.76180795074642
2019-08-18,32170.0,48.0,49.75896168108776,70.75822454308096
2019-08-19,12495.0,49.0,49.49356223175965,80.14236706689537
2019-08-20,33475.0,50.0,49.7463976945245,79.4630049931911
2019-08-21,15458.0,48.0,48.17494089834516,75.19440493124704
2019-08-22,29372.0,48.0,49.13870967741936,73.06419973250111
2019-08-23,11041.0,43.0,51.605555555555554,61.76407023863125
2019-08-24,31377.999999999996,49.0,50.45192307692308,73.66833712984055
2019-08-25,3191.999999999999,47.0,47.50490196078432,63.99032414126753
2019-08-26,24284.0,47.0,46.69346733668342,75.8679706601467
2019-08-27,35492.00000000001,49.0,49.04426229508197,74.01844354475934
2019-08-28,11603.0,48.0,48.37362637362637,79.23831070889895
2019-08-29,29772.0,45.0,48.156976744186046,71.3516690173954
2019-08-30,33081.0,47.0,47.57462686567164,75.74589779653071
2019-08-31,12806.0,45.0,46.2390180878553,74.56528117359413
2019-09-01,31230.999999999996,48.0,48.95780051150895,71.43378310844578
2019-09-02,34303.00000000001,47.0,47.36507936507937,81.72852233676976
2019-09-03,39990.0,46.0,47.63307493540052,77.74577046181984
2019-09-04,25521.0,46.0,47.11827956989247,84.03422409751524
2019-09-05,38555.0,46.0,46.57826086956522,80.01630157921548
2019-09-06,38198.0,48.0,47.78005115089514,79.84910237748666
2019-09-07,13962.0,44.0,47.79178082191781,77.30958482829318
2019-09-08,39881.0,47.0,50.333333333333336,70.24321920853713
2019-09-09,22426.0,48.0,50.01842751842752,71.55420412480169
2019-09-10,37518.0,45.0,46.188995215311,83.18591808559594
2019-09-11,21975.0,45.0,49.08793969849246,80.6351824087956
2019-09-12,20824.0,46.0,47.1937984496124,79.77735670298436
2019-09-13,3019.999999999998,48.0,47.95892351274787,101.56105310939628
2019-09-14,35388.0,51.0,51.84939759036145,73.59766132524902
2019-09-15,2438.0,46.0,46.90459770114943,65.24808033077377
2019-09-16,39108.0,47.0,49.43169398907104,77.14172053704624
2019-09-17,37647.0,47.0,48.568345323741006,76.08137931034483
2019-09-18,17866.0,47.0,49.13533834586466,77.77726098191215
2019-09-19,39932.0,46.0,47.26056338028169,84.39934609995329
2019-09-20,25781.0,45.0,48.0,76.34860651865849
2019-09-21,14491.0,46.0,46.48600508905852,79.12817851582771
2019-09-22,39959.0,49.0,51.31777777777778,76.89436997319035
2019-09-23,36835.0,49.0,51.50454545454546,82.52227342549924
2019-09-24,37202.0,50.0,51.16059225512529,79.6301703163017
